,times,sims,name,group
tuk bon.3,1150,0.034359331,tuk bon,one
tuk fin.3,1150,0.04108568,tuk fin,one
tuk ngo.3,1150,0.048672566,tuk ngo,one
tuk plu.3,1150,0.070665469,tuk plu,one
tuk tag.3,1150,0.033085808,tuk tag,one
tuk vol.3,1150,0.06055796,tuk vol,one
tuk wai.3,1150,0.015353338,tuk wai,neither
tuk yac.3,1150,0.057744381,tuk yac,one
vol ava.3,1150,0.396265446,vol ava,both
vol bon.3,1150,0.305027634,vol bon,both
vol fin.3,1150,0.183255149,vol fin,both
vol ngo.3,1150,0.209924959,vol ngo,both
vol plu.3,1150,0.14393285,vol plu,both
vol tag.3,1150,0.029732742,vol tag,both
vol wai.3,1150,0.004158004,vol wai,one
vol yac.3,1150,0.466748905,vol yac,both
wai ava.3,1150,0.002079002,wai ava,one
wai bon.3,1150,0.006237006,wai bon,one
wai ngo.3,1150,0.005095131,wai ngo,one
wai plu.3,1150,0.094148963,wai plu,one
wai tag.3,1150,0.013960351,wai tag,one
yac ava.3,1150,0.157405847,yac ava,both
yac bon.3,1150,0.183397054,yac bon,both
yac fin.3,1150,0.159859526,yac fin,both
yac ngo.3,1150,0.177667459,yac ngo,both
yac plu.3,1150,0.122320672,yac plu,both
yac tag.3,1150,0.018125115,yac tag,both
yac wai.3,1150,0.004158004,yac wai,one
aro ava.2,650,0.134639704,aro ava,both
aro bon.2,650,0.162346164,aro bon,both
aro fin.2,650,0.160861638,aro fin,both
aro ngo.2,650,0.251860071,aro ngo,both
aro plu.2,650,0.08940159,aro plu,both
aro tag.2,650,0.012618297,aro tag,both
aro tuk.2,650,0.100716145,aro tuk,both
aro vol.2,650,0.260467928,aro vol,both
aro wai.2,650,0.009133041,aro wai,both
aro yac.2,650,0.377306682,aro yac,both
ava bon.2,650,0.366779823,ava bon,both
ava ngo.2,650,0.561362475,ava ngo,both
ava plu.2,650,0.37372499,ava plu,both
ava tag.2,650,0.062734715,ava tag,both
bon plu.2,650,0.183175817,bon plu,both
bon tag.2,650,0.14047571,bon tag,both
fin ava.2,650,0.353386819,fin ava,both
fin bon.2,650,0.259752386,fin bon,both
fin ngo.2,650,0.449658588,fin ngo,both
fin plu.2,650,0.262257251,fin plu,both
fin tag.2,650,0.035615469,fin tag,both
fin wai.2,650,0.016513186,fin wai,both
lan aro.1,650,0.025270862,lan aro,both
lan ava.1,650,0.189996715,lan ava,both
lan bon.1,650,0.279437882,lan bon,both
lan fin.1,650,0.181218097,lan fin,both
lan lot.1,650,0.058043879,lan lot,both
lan ngo.1,650,0.187207816,lan ngo,both
lan plu.1,650,0.061625499,lan plu,both
lan tag.1,650,0.064254163,lan tag,both
lan tuk.1,650,0.032323779,lan tuk,both
lan vol.1,650,0.232167487,lan vol,both
lan wai.1,650,0.006504571,lan wai,both
lan yac.1,650,0.05205492,lan yac,both
lot aro.2,650,0.338043144,lot aro,both
lot ava.2,650,0.243540306,lot ava,both
lot bon.2,650,0.247307486,lot bon,both
lot fin.2,650,0.455691505,lot fin,both
lot ngo.2,650,0.392808726,lot ngo,both
lot plu.2,650,0.188214294,lot plu,both
lot tag.2,650,0.018927445,lot tag,both
lot tuk.2,650,0.12515043,lot tuk,both
lot vol.2,650,0.272960479,lot vol,both
lot wai.2,650,0.004096544,lot wai,both
lot yac.2,650,0.34275931,lot yac,both
lou aro.1,650,0.075745799,lou aro,both
lou ava.1,650,0.360579928,lou ava,both
lou bon.1,650,0.147480325,lou bon,both
lou fin.1,650,0.262414471,lou fin,both
lou lan.1,650,0.056435535,lou lan,both
lou lot.1,650,0.181324275,lou lot,both
lou ngo.1,650,0.521810803,lou ngo,both
lou plu.1,650,0.625972622,lou plu,both
lou tag.1,650,0.01340073,lou tag,both
lou tuk.1,650,0.102905378,lou tuk,both
lou vol.1,650,0.122428706,lou vol,both
lou wai.1,650,0.004096544,lou wai,both
lou yac.1,650,0.088141442,lou yac,both
ngo bon.2,650,0.345743696,ngo bon,both
ngo plu.2,650,0.514873354,ngo plu,both
ngo tag.2,650,0.069661378,ngo tag,both
plu tag.2,650,0.049801639,plu tag,both
tuk ava.2,650,0.129640189,tuk ava,both
tuk bon.2,650,0.133362107,tuk bon,both
tuk fin.2,650,0.12515043,tuk fin,both
tuk ngo.2,650,0.131638721,tuk ngo,both
tuk plu.2,650,0.11408089,tuk plu,both
tuk tag.2,650,0.018987095,tuk tag,both
tuk vol.2,650,0.140806314,tuk vol,both
tuk wai.2,650,0.011355362,tuk wai,both
tuk yac.2,650,0.193396614,tuk yac,both
vol ava.2,650,0.388841512,vol ava,both
vol bon.2,650,0.553954422,vol bon,both
vol fin.2,650,0.215555092,vol fin,both
vol ngo.2,650,0.364668807,vol ngo,both
vol plu.2,650,0.133370078,vol plu,both
vol tag.2,650,0.036506596,vol tag,both
vol wai.2,650,0.005472154,vol wai,both
vol yac.2,650,0.434601522,vol yac,both
wai ava.2,650,0.016001306,wai ava,both
wai bon.2,650,0.012429878,wai bon,both
wai ngo.2,650,0.007444759,wai ngo,both
wai plu.2,650,0.070897987,wai plu,both
wai tag.2,650,0.01385635,wai tag,both
yac ava.2,650,0.232288203,yac ava,both
yac bon.2,650,0.181035237,yac bon,both
yac fin.2,650,0.175240726,yac fin,both
yac ngo.2,650,0.273630415,yac ngo,both
yac plu.2,650,0.098228288,yac plu,both
yac tag.2,650,0.021530452,yac tag,both
yac wai.2,650,0.004803258,yac wai,both
aro ava.1,150,0.064329701,aro ava,both
aro bon.1,150,0.052515366,aro bon,both
aro fin.1,150,0.216010202,aro fin,both
aro ngo.1,150,0.055291672,aro ngo,both
aro plu.1,150,0.038864119,aro plu,both
aro tag.1,150,0.038243897,aro tag,both
aro tuk.1,150,0.321840237,aro tuk,both
aro vol.1,150,0.208566073,aro vol,both
aro wai.1,150,0.1364171,aro wai,both
aro yac.1,150,0.196004466,aro yac,both
ava bon.1,150,0.341878553,ava bon,both
ava ngo.1,150,0.504123862,ava ngo,both
ava plu.1,150,0.302750714,ava plu,both
ava tag.1,150,0.128196631,ava tag,both
bon plu.1,150,0.170707878,bon plu,both
bon tag.1,150,0.272268278,bon tag,both
fin ava.1,150,0.187456696,fin ava,both
fin bon.1,150,0.166484441,fin bon,both
fin ngo.1,150,0.20943439,fin ngo,both
fin plu.1,150,0.110596492,fin plu,both
fin tag.1,150,0.063843214,fin tag,both
fin wai.1,150,0.132477922,fin wai,both
lot aro.1,150,0.360839357,lot aro,both
lot ava.1,150,0.115507202,lot ava,both
lot bon.1,150,0.099835584,lot bon,both
lot fin.1,150,0.387796677,lot fin,both
lot ngo.1,150,0.10713272,lot ngo,both
lot plu.1,150,0.073174874,lot plu,both
lot tag.1,150,0.010008307,lot tag,both
lot tuk.1,150,0.369880319,lot tuk,both
lot vol.1,150,0.258930327,lot vol,both
lot wai.1,150,0.129073425,lot wai,both
lot yac.1,150,0.247845513,lot yac,both
ngo bon.1,150,0.190006865,ngo bon,both
ngo plu.1,150,0.309620053,ngo plu,both
ngo tag.1,150,0.043710489,ngo tag,both
plu tag.1,150,0.071747096,plu tag,both
tuk ava.1,150,0.313202884,tuk ava,both
tuk bon.1,150,0.1453745,tuk bon,both
tuk fin.1,150,0.280258812,tuk fin,both
tuk ngo.1,150,0.303767782,tuk ngo,both
tuk plu.1,150,0.276627307,tuk plu,both
tuk tag.1,150,0.01734795,tuk tag,both
tuk vol.1,150,0.314093486,tuk vol,both
tuk wai.1,150,0.142312746,tuk wai,both
tuk yac.1,150,0.335266061,tuk yac,both
vol ava.1,150,0.311821432,vol ava,both
vol bon.1,150,0.338164327,vol bon,both
vol fin.1,150,0.292019586,vol fin,both
vol ngo.1,150,0.170512929,vol ngo,both
vol plu.1,150,0.123451016,vol plu,both
vol tag.1,150,0.067125355,vol tag,both
vol wai.1,150,0.132097878,vol wai,both
vol yac.1,150,0.482625814,vol yac,both
wai ava.1,150,0.061672274,wai ava,both
wai bon.1,150,0.044144507,wai bon,both
wai ngo.1,150,0.047619048,wai ngo,both
wai plu.1,150,0.161124042,wai plu,both
wai tag.1,150,0.022924016,wai tag,both
yac ava.1,150,0.131567919,yac ava,both
yac bon.1,150,0.14041029,yac bon,both
yac fin.1,150,0.256791789,yac fin,both
yac ngo.1,150,0.128942439,yac ngo,both
yac plu.1,150,0.10330251,yac plu,both
yac tag.1,150,0.022392102,yac tag,both
yac wai.1,150,0.129245246,yac wai,both
