depth,min,max,median,mean
109.0,3738,3925,3834,3832
109.5,3762,3946,3863,3857
110.0,3785,3971,3890,3882
110.5,3806,3988,3908,3900
111.0,3825,4007,3924,3918
111.5,3840,4028,3940,3936
112.0,3855,4050,3957,3954
112.5,3870,4071,3976,3973
113.0,3883,4095,3993,3991
113.5,3894,4121,4010,4009
114.0,3903,4146,4026,4027
114.5,3915,4175,4041,4045
115.0,3924,4202,4057,4064
115.5,3946,4216,4075,4082
116.0,3965,4232,4094,4100
116.5,3981,4249,4113,4117
117.0,4000,4265,4134,4135
117.5,4016,4285,4153,4153
118.0,4030,4305,4172,4171
118.5,4045,4327,4191,4189
119.0,4058,4351,4209,4207
119.5,4072,4375,4227,4225
120.0,4083,4401,4243,4243
120.5,4106,4415,4261,4260
121.0,4128,4426,4280,4277
121.5,4149,4439,4296,4294
122.0,4169,4451,4312,4311
122.5,4187,4467,4329,4328
123.0,4207,4482,4346,4345
123.5,4226,4500,4363,4362
124.0,4240,4517,4381,4379
124.5,4253,4536,4399,4396
125.0,4266,4555,4414,4413
125.5,4293,4566,4428,4431
126.0,4319,4576,4440,4448
126.5,4344,4589,4455,4466
127.0,4369,4601,4469,4484
127.5,4392,4613,4484,4501
128.0,4414,4630,4497,4519
128.5,4436,4649,4513,4537
129.0,4457,4665,4529,4554
129.5,4474,4683,4546,4572
130.0,4492,4702,4563,4590
130.5,4522,4719,4587,4614
131.0,4550,4739,4613,4639
131.5,4574,4762,4642,4663
132.0,4595,4786,4670,4688
132.5,4614,4815,4700,4712
133.0,4628,4850,4728,4737
133.5,4643,4880,4756,4761
134.0,4656,4909,4783,4785
134.5,4671,4944,4809,4810
135.0,4684,4974,4835,4834
135.5,4720,4986,4856,4857
136.0,4754,5000,4877,4880
136.5,4786,5015,4898,4903
137.0,4820,5031,4919,4926
137.5,4849,5048,4939,4949
138.0,4876,5068,4963,4972
138.5,4899,5090,4986,4995
139.0,4922,5110,5009,5017
139.5,4941,5136,5032,5040
140.0,4960,5164,5055,5063
140.5,4978,5179,5070,5080
141.0,4997,5191,5086,5096
141.5,5015,5206,5104,5113
142.0,5034,5222,5122,5129
142.5,5051,5241,5140,5146
143.0,5065,5261,5159,5162
143.5,5078,5281,5175,5179
144.0,5090,5303,5192,5195
144.5,5101,5324,5209,5212
145.0,5110,5348,5227,5228
145.5,5128,5358,5240,5242
146.0,5145,5367,5254,5256
146.5,5162,5378,5267,5270
147.0,5177,5389,5283,5284
147.5,5192,5404,5298,5298
148.0,5207,5416,5314,5312
148.5,5220,5428,5329,5326
149.0,5233,5442,5344,5340
149.5,5244,5458,5358,5354
150.0,5257,5474,5374,5367
150.5,5286,5484,5393,5388
151.0,5317,5494,5414,5408
151.5,5344,5504,5435,5428
152.0,5365,5514,5458,5448
152.5,5383,5527,5482,5469
153.0,5401,5545,5507,5489
153.5,5417,5573,5524,5509
154.0,5433,5608,5540,5529
154.5,5450,5643,5555,5550
155.0,5465,5673,5571,5570
155.5,5503,5693,5599,5598
156.0,5541,5713,5628,5626
156.5,5579,5733,5655,5655
157.0,5612,5756,5682,5683
157.5,5642,5781,5709,5711
158.0,5670,5811,5739,5740
158.5,5696,5842,5766,5768
159.0,5721,5874,5792,5796
159.5,5744,5910,5819,5825
160.0,5765,5945,5845,5853
160.5,5794,5968,5873,5879
161.0,5821,5993,5902,5905
161.5,5841,6019,5930,5932
162.0,5862,6050,5960,5958
162.5,5880,6086,5985,5984
163.0,5897,6124,6009,6010
163.5,5912,6165,6033,6037
164.0,5928,6205,6056,6063
164.5,5942,6246,6080,6089
165.0,5956,6285,6102,6115
165.5,5986,6303,6128,6139
166.0,6015,6321,6152,6164
166.5,6041,6341,6179,6188
167.0,6069,6359,6205,6212
167.5,6093,6382,6234,6236
168.0,6118,6406,6262,6260
168.5,6137,6433,6291,6284
169.0,6157,6459,6317,6308
169.5,6176,6485,6344,6333
170.0,6193,6516,6370,6357
170.5,6231,6528,6392,6382
171.0,6271,6540,6414,6407
171.5,6309,6551,6437,6432
172.0,6348,6564,6461,6457
172.5,6385,6578,6485,6482
173.0,6420,6596,6508,6508
173.5,6454,6615,6533,6533
174.0,6485,6635,6556,6558
174.5,6512,6660,6580,6583
175.0,6537,6686,6607,6608
175.5,6558,6703,6624,6627
176.0,6578,6718,6644,6645
176.5,6595,6735,6664,6664
177.0,6611,6755,6683,6683
177.5,6626,6776,6702,6701
178.0,6639,6800,6720,6720
178.5,6651,6826,6738,6738
179.0,6663,6848,6756,6757
179.5,6674,6875,6774,6776
180.0,6685,6901,6791,6794
180.5,6708,6912,6808,6812
181.0,6732,6927,6825,6830
181.5,6753,6944,6844,6848
182.0,6774,6958,6862,6867
