depth,mean,accum_time
229.5,8104,9
230,8114,10
230.5,8124,10
231,8134,10
231.5,8144,10
232,8154,10
232.5,8164,10
233,8174,10
233.5,8184,10
234,8194,10
234.5,8204,10
235,8214,10
235.5,8223,9
236,8233,10
236.5,8243,10
237,8252,9
237.5,8262,10
238,8271,9
238.5,8281,10
239,8290,9
239.5,8300,10
240,8310,10
240.5,8321,11
241,8332,11
241.5,8343,11
242,8354,11
242.5,8365,11
243,8376,11
243.5,8387,11
244,8398,11
244.5,8410,12
245,8421,11
245.5,8433,12
246,8446,13
246.5,8458,12
247,8471,13
247.5,8484,13
248,8496,12
248.5,8509,13
249,8521,12
249.5,8534,13
250,8547,13
250.5,8559,12
251,8572,13
251.5,8584,12
252,8597,13
252.5,8610,13
253,8622,12
253.5,8635,13
254,8647,12
254.5,8660,13
255,8673,13
255.5,8686,13
256,8700,14
256.5,8714,14
257,8728,14
257.5,8742,14
258,8756,14
258.5,8769,13
259,8783,14
259.5,8797,14
260,8811,14
260.5,8827,16
261,8844,17
261.5,8860,16
262,8877,17
262.5,8893,16
263,8909,16
263.5,8926,17
264,8942,16
264.5,8958,16
265,8975,17
265.5,8992,17
266,9008,16
266.5,9025,17
267,9042,17
267.5,9058,16
268,9075,17
268.5,9091,16
269,9108,17
269.5,9125,17
270,9141,16
270.5,9158,17
271,9174,16
271.5,9191,17
272,9207,16
272.5,9224,17
273,9240,16
273.5,9257,17
274,9273,16
274.5,9290,17
275,9306,16
275.5,9323,17
276,9340,17
276.5,9357,17
277,9374,17
277.5,9391,17
278,9408,17
278.5,9425,17
279,9442,17
279.5,9459,17
280,9476,17
280.5,9494,18
281,9511,17
281.5,9529,18
282,9547,18
282.5,9565,18
283,9583,18
283.5,9600,17
284,9618,18
284.5,9636,18
285,9654,18
285.5,9683,29
286,9712,29
286.5,9741,29
287,9771,30
287.5,9800,29
288,9829,29
288.5,9858,29
289,9888,30
289.5,9917,29
290,9946,29
290.5,9975,29
291,10004,29
291.5,10033,29
292,10062,29
292.5,10091,29
293,10120,29
293.5,10149,29
294,10178,29
294.5,10207,29
295,10236,29
295.5,10266,30
296,10296,30
296.5,10326,30
297,10356,30
297.5,10386,30
298,10415,29
298.5,10445,30
299,10475,30
299.5,10505,30
300,10535,30
