depth	min	max	median	mean
398	4674	5313	4995	4988
399	4686	5348	5014	5011
400	4699	5377	5035	5033
401	4726	5400	5058	5056
402	4746	5423	5079	5078
403	4765	5447	5102	5101
404	4775	5478	5124	5123
405	4789	5515	5148	5146
406	4820	5531	5170	5168
407	4846	5557	5192	5190
408	4866	5578	5213	5213
409	4884	5607	5233	5235
410	4899	5636	5253	5258
411	4930	5654	5274	5280
412	4949	5676	5297	5303
413	4969	5703	5318	5326
414	4986	5743	5342	5349
415	5003	5775	5365	5371
416	5039	5789	5388	5394
417	5069	5804	5412	5417
418	5091	5823	5436	5440
419	5114	5844	5458	5463
420	5133	5865	5481	5486
421	5154	5879	5502	5508
422	5179	5898	5522	5530
423	5199	5916	5546	5551
424	5214	5940	5570	5573
425	5231	5970	5591	5595
426	5257	5985	5613	5617
427	5286	6004	5638	5640
428	5304	6017	5661	5662
429	5324	6040	5683	5684
430	5344	6068	5706	5707
431	5378	6080	5726	5729
432	5400	6094	5747	5751
433	5425	6110	5770	5773
434	5446	6132	5793	5795
435	5470	6160	5816	5817
436	5502	6171	5836	5839
437	5536	6186	5858	5861
438	5561	6204	5880	5883
439	5583	6223	5902	5905
440	5598	6244	5925	5927
441	5635	6258	5944	5948
442	5664	6267	5962	5969
443	5693	6284	5980	5990
444	5721	6312	6006	6012
445	5743	6339	6030	6033
446	5766	6385	6068	6068
447	5784	6444	6104	6104
448	5798	6530	6135	6139
449	5810	6627	6162	6175
450	5823	6726	6189	6210
451	5846	6767	6225	6247
452	5871	6833	6259	6283
453	5887	6905	6293	6319
454	5899	6981	6323	6356
455	5914	7068	6354	6392
456	5937	7110	6395	6428
457	5956	7158	6432	6464
458	5973	7205	6468	6499
459	5988	7268	6502	6535
460	6003	7331	6536	6571
461	6030	7382	6572	6608
462	6056	7428	6614	6645
463	6080	7498	6649	6681
464	6096	7561	6682	6718
465	6113	7627	6716	6755
466	6138	7665	6756	6792
467	6156	7713	6795	6829
468	6176	7771	6831	6866
469	6193	7832	6872	6903
470	6206	7885	6908	6940
471	6229	7929	6951	6975
472	6247	7980	6984	7010
473	6264	8020	7021	7045
474	6279	8070	7061	7080
475	6291	8135	7095	7115
476	6319	8186	7141	7151
477	6345	8232	7180	7187
478	6362	8274	7222	7223
479	6376	8332	7265	7259
480	6396	8383	7303	7295
481	6416	8413	7340	7332
482	6440	8455	7380	7369
483	6467	8505	7419	7406
484	6480	8542	7463	7443
485	6497	8597	7494	7479
486	6529	8627	7528	7515
487	6551	8679	7572	7550
488	6580	8726	7612	7586
489	6596	8785	7648	7621
490	6617	8846	7683	7657
491	6635	8892	7724	7692
492	6655	8934	7765	7726
493	6675	8967	7801	7761
494	6697	9016	7839	7796
495	6712	9074	7875	7831
496	6733	9110	7916	7868
497	6753	9151	7956	7904
498	6773	9196	7996	7940
499	6791	9260	8032	7976
500	6807	9329	8070	8012
501	6831	9366	8114	8048
502	6845	9411	8152	8083
503	6864	9452	8190	8119
504	6882	9492	8226	8154
505	6895	9532	8269	8190
506	6927	9587	8313	8227
507	6951	9618	8353	8263
508	6977	9677	8392	8300
509	6996	9727	8431	8337
510	7017	9785	8476	8373
511	7045	9833	8527	8416
512	7075	9885	8587	8459
513	7111	9920	8638	8502
514	7140	9957	8689	8544
515	7158	10010	8739	8587
516	7254	10052	8813	8664
517	7315	10116	8889	8740
518	7381	10168	8958	8817
519	7421	10240	9035	8893
520	7460	10314	9108	8970
521	7577	10359	9180	9053
522	7675	10399	9250	9137
523	7753	10449	9323	9221
524	7820	10515	9399	9304
525	7884	10600	9481	9388
526	8023	10637	9570	9474
527	8129	10681	9654	9560
528	8202	10731	9732	9646
529	8280	10808	9818	9732
530	8345	10891	9903	9818
531	8514	10923	9985	9901
532	8687	10976	10063	9984
533	8821	11033	10142	10067
534	8937	11090	10224	10150
535	9020	11150	10305	10233
536	9141	11192	10377	10313
537	9276	11227	10455	10393
538	9399	11269	10530	10474
539	9500	11326	10610	10554
540	9573	11391	10692	10634
541	9774	11425	10771	10720
542	9953	11455	10849	10806
543	10100	11503	10929	10892
544	10222	11551	11012	10978
545	10302	11621	11103	11064
546	10460	11660	11162	11138
547	10608	11698	11219	11212
548	10721	11750	11284	11286
549	10778	11843	11362	11360
550	10826	11971	11436	11434
551	10894	12021	11491	11491
552	10940	12094	11551	11549
553	10980	12194	11606	11606
554	11011	12322	11655	11663
555	11040	12485	11704	11721
556	11091	12536	11761	11779
557	11144	12595	11820	11837
558	11195	12665	11879	11895
559	11232	12761	11935	11954
560	11266	12868	11988	12012
561	11328	12918	12044	12069
562	11362	12986	12102	12126
563	11401	13050	12164	12182
564	11446	13132	12219	12239
565	11470	13245	12275	12296
