labID,age,error,depth,cc
1936-CE,14,1,150,0
Beta-53530,330,70,171,3
OZA-957,790,45,245,3
Beta-53531,2510,80,291,3
Beta-76835,3510,70,346,3
Beta-53532,4340,90,392,3
Beta-52262,5210,80,445,3
Beta-70396,6160,90,513,3
OZA-958,9930,100,548,3
OZA-959,9480,80,626,3
Beta-70397,14670,140,653,3
OZA-960,25600,400,698,3
Beta-70398,19880,820,762,3
