"","Cal_yrs_BP","min","max","Acrostichum","Alphitonia","Amaranthaceae","Anacardiaceae","Apiaceae","Araceae","Arecaceae","Asteraceae","Bischofia","Burseraceae","Calophyllum","Casuarina","cf. Ailanthus","cf. Araliaceae","cf. Calamus","cf. Celtis","cf. Clerodendrum","cf. Clethra","cf. Cycas","cf. Desmodium","cf. Diospyros","cf. Entada","cf. Geraniaceae","cf. Maesa","cf. Maniltoa","cf. Maytenus","cf. Neonauclea","cf. Onagraceae","cf. Rosaceae","cf. Senna","cf. Sterculia","Cocos","Combretaceae/Melastromataceae","Cyperaceae","Dracaena","Dysoxylum","Elaeocarpus","Elattostachys","Euphorbiaceae","Excoecaria","Fabaceae","Ficus","Freycinetia","Glochidion","Grewia","Hedycarya","Homalanthus","Homalium","Ixora","Loranthaceae","Macaranga","Malpighiaceae","Malvaceae","Melastromataceae/Sapotaceae","Microsorum","Monolete echinate","Monolete spores","Moraceae/Urticaceae","Oleaceae","Pandanus","Phyllanthaceae","Poaceae","Polygonaceae","Polypodium","Rhamnaceae","Rhizophoraceae","Rhus","Rubiaceae","Sapotaceae","Stenochlaena","Syzygium","Trema","Trilete spores","Vitaceae"
"24",3287,2945,3635,0,1,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,2,65,0,0,50,1,0,0,2,0,0,0,0,0,0,2,9,1,125,0,0,1,0,0,72,26,3,0,0,14,1,0,0,33,11,0,2,151,13,80,3,0
"25",3395,3051,3738,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,13,0,0,0,0,0,0,1,0,0,0,0,0,0,17,0,0,0,32,0,13,0,0,2,0,0,0,0,0,3,1,0,1,27,4,12,0,0
"26",3505,3168,3833,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,67,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,85,0,0,3,37,0,17,90,0,1,0,4,0,0,0,62,6,0,2,8,7,95,1,0
"27",3627,3294,3935,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,4,0,1,1,0,36,0,0
"28",3721,3390,4030,0,0,0,0,0,0,5,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,5,75,0,7,17,0,0,0,4,0,0,0,0,0,0,5,0,0,36,0,0,2,0,0,0,0,0,1,0,2,3,0,0,34,3,0,1,4,12,259,0,1
"29",3829,3511,4112,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,13,0,0,1,8,0,7,0,0,0,0,0,0,0,1,3,4,0,1,0,2,55,0,0
"30",3939,3629,4209,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,8,1,0,1,0,0,0,0,0,0,1,0,0,0,12,0,0,4,0,0,9,2,0,0,0,2,0,0,0,2,0,0,0,2,3,32,0,0
"31",4062,3767,4313,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,1,5,0,15,0,0,0,0,0,0,0,0,9,4,0,2,0,4,6,0,0
"32",4278,4057,4475,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,1,43,0,0,35,1,0,0,0,0,0,0,0,11,6,1,10,0,60,0,0,2,8,0,72,16,0,0,0,24,1,0,0,9,12,0,6,39,0,42,3,0
"33",4383,4183,4566,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,4,0,13,0,0,0,0,5,0,0,0,1,2,0,1,10,0,9,0,0
