"","times","sims","name","rank"
"ngo aro.1",150,0.0809731140764109,"ngo aro","family"
"ngo aro.2",650,0.441354138224275,"ngo aro","family"
"ngo aro.3",1150,0.208067170587229,"ngo aro","family"
"ngo aro.4",1650,0.030772551345136,"ngo aro","family"
"ngo aro.5",2650,0.234930137934464,"ngo aro","family"
"ngo aro.6",3150,0.2071167925047,"ngo aro","family"
"ngo aro.7",4650,0.0504387675446306,"ngo aro","family"
"wai aro.1",150,0.0231802580010856,"wai aro","family"
"wai aro.2",650,0,"wai aro","family"
"wai aro.3",1150,0,"wai aro","family"
"wai aro.4",1650,0.0091051123628052,"wai aro","family"
"wai aro.5",3150,0.0130317628149734,"wai aro","family"
"wai aro.6",4650,0,"wai aro","family"
"tuk aro.1",150,0.0382581334448847,"tuk aro","family"
"tuk aro.2",650,0.0375809316016328,"tuk aro","family"
"tuk aro.3",1150,0.0190280473417818,"tuk aro","family"
"tuk aro.4",3150,0.0388883564398158,"tuk aro","family"
"yac aro.1",150,0.311072448231801,"yac aro","family"
"yac aro.2",650,0.615197393091848,"yac aro","family"
"yac aro.3",1150,0.526506719262448,"yac aro","family"
"yac aro.4",1650,0.288741783024878,"yac aro","family"
"yac aro.5",2650,0.000518140136441692,"yac aro","family"
"yac aro.6",3150,0.00683962272580518,"yac aro","family"
"ava aro.1",150,0.132182238142451,"ava aro","family"
"ava aro.2",650,0.279726444439337,"ava aro","family"
"ava aro.3",1150,0.351196604876504,"ava aro","family"
"ava aro.4",1650,0.168350936824409,"ava aro","family"
"ava aro.5",2650,0.16611381797317,"ava aro","family"
"ava aro.6",3150,0.238146652218172,"ava aro","family"
"ava aro.7",4650,0.0959824664676254,"ava aro","family"
"plu aro.1",150,0.0665581862872581,"plu aro","family"
"plu aro.2",650,0.155845435739875,"plu aro","family"
"plu aro.3",1150,0.16463855785868,"plu aro","family"
"plu aro.4",1650,0.0406694559753683,"plu aro","family"
"plu aro.5",2650,0,"plu aro","family"
"plu aro.6",3150,0.01711764970103,"plu aro","family"
"plu aro.7",4650,0.0422737083711729,"plu aro","family"
"lot aro.1",150,0.734773871174708,"lot aro","family"
"lot aro.2",650,0.758843046349983,"lot aro","family"
"lot aro.3",1150,0.271913726233465,"lot aro","family"
"lot aro.4",3150,0,"lot aro","family"
"fin aro.1",150,0.494940248807151,"fin aro","family"
"fin aro.2",650,0.39337136860646,"fin aro","family"
"fin aro.3",1150,0.452764064596248,"fin aro","family"
"fin aro.4",1650,0.301740977038001,"fin aro","family"
"fin aro.5",2650,0.222672418809111,"fin aro","family"
"fin aro.6",3150,0.0737463681573887,"fin aro","family"
"fin aro.7",4650,0,"fin aro","family"
"vol aro.1",150,0.505210850199859,"vol aro","family"
"vol aro.2",650,0.532065765929501,"vol aro","family"
"vol aro.3",1150,0.613061679027955,"vol aro","family"
"vol aro.4",2650,0.466212130600809,"vol aro","family"
"vol aro.5",3150,0.503622965683008,"vol aro","family"
"vol aro.6",4650,0.116256459154767,"vol aro","family"
"bon aro.1",150,0.0656671512759451,"bon aro","family"
"bon aro.2",650,0.248160891942873,"bon aro","family"
"bon aro.3",1150,0.157627627067268,"bon aro","family"
"bon aro.4",1650,0.60753020330334,"bon aro","family"
"bon aro.5",2650,0.595504470289027,"bon aro","family"
"bon aro.6",3150,0.403382455563816,"bon aro","family"
"tag aro.1",150,0.0484227239721265,"tag aro","family"
"tag aro.2",650,0.0281684034287928,"tag aro","family"
"tag aro.3",1150,0.052571754116127,"tag aro","family"
"tag aro.4",1650,0.0252371234667288,"tag aro","family"
"tag aro.5",2650,0.01188866441004,"tag aro","family"
"tag aro.6",3150,0.0914605823256054,"tag aro","family"
"tag aro.7",4650,0.0225800002970387,"tag aro","family"
"lou aro.1",650,0.117535669880106,"lou aro","family"
"lou aro.2",1150,0.0315633259311657,"lou aro","family"
"lou aro.3",1650,0.0425085788649533,"lou aro","family"
"lou aro.4",2650,0.110550927381747,"lou aro","family"
"lou aro.5",3150,0.0412661890609942,"lou aro","family"
"lou aro.6",4650,0.0232059409026915,"lou aro","family"
"lan aro.1",650,0.0544829923099047,"lan aro","family"
"lan aro.2",1150,0.0157689057126966,"lan aro","family"
"lan aro.3",1650,0.0199526428098629,"lan aro","family"
"lan aro.4",2650,0.00307916150032084,"lan aro","family"
"lan aro.5",3150,0.00866712486585297,"lan aro","family"
"lan aro.6",4650,0.00147197410353317,"lan aro","family"
"ano aro.1",1650,0.403199783081438,"ano aro","family"
"ano aro.2",2650,0.307642479715752,"ano aro","family"
"ano aro.3",3150,0.53280157324676,"ano aro","family"
"ano aro.4",4650,0.115776485955709,"ano aro","family"
"wai ngo.1",150,0,"wai ngo","family"
"wai ngo.2",650,0,"wai ngo","family"
"wai ngo.3",1150,0.00420013549206544,"wai ngo","family"
"wai ngo.4",1650,0,"wai ngo","family"
"wai ngo.5",2150,0.000687713735147422,"wai ngo","family"
"wai ngo.6",3150,0,"wai ngo","family"
"wai ngo.7",4150,0,"wai ngo","family"
"wai ngo.8",4650,0.0185922785093292,"wai ngo","family"
"tuk ngo.1",150,0.566565375981161,"tuk ngo","family"
"tuk ngo.2",650,0.103173061044506,"tuk ngo","family"
"tuk ngo.3",1150,0.0915472997396358,"tuk ngo","family"
"tuk ngo.4",2150,0.145505027756282,"tuk ngo","family"
"tuk ngo.5",3150,0.147897207683635,"tuk ngo","family"
"tuk ngo.6",3650,0.175183169061818,"tuk ngo","family"
"tuk ngo.7",4150,0.230000629459671,"tuk ngo","family"
"yac ngo.1",150,0.185074255132905,"yac ngo","family"
"yac ngo.2",650,0.354591283357166,"yac ngo","family"
"yac ngo.3",1150,0.21287843407938,"yac ngo","family"
