"","Group.1","counts","Site"
"1","ano",164.35,NA
"2","ava",403.333333333333,NA
"3","bon",1091.57142857143,NA
"4","lan",313.90625,NA
"5","lou",779.5,NA
"6","ngo",250.754098360656,NA
"7","plu",545.727272727273,NA
"8","tag",478.508196721311,NA
"9","tuk",298.066666666667,NA
"10","vol",284.658536585366,NA
"11","wai",385,NA
"12","yac",372.741935483871,NA
