"","Cal_yrs_BP","min","max","Site","Amaranthaceae","Hypolepis","Psychotria","Cyperaceae","Casuarina","Myrtaceae","Ilex","Podocarpus","Poaceae","Meliaceae","Sapotaceae","Rhamnaceae","Rhizophoraceae","Rutaceae","Sapindaceae","Proteaceae","Cunoniaceae","Alternanthera","Apocynaceae","Typha","Rubiaceae","Plantago","Lycopodium","Ascarina","Agathis","Asteraceae","Apiaceae","Bischofia","Glochidion","Mallotus","Rapanea","Melastomataceae","Euphorbiaceae","Gardenia","Rosaceae","Anacardiaceae","Smilax?","Selaginella","Type 4","Marattiaceae","Haloragaceae","Dilleniaceae","Elaeocarpus?","Palms","Acryanthes","Araliaceae","Dodonea","Legumes","Macaranga/Mallotus","Poaceae &gt;70 um","Portulaceae","Polypodiaceae","Treeferns","Triletes Other","Blechnum","Monolete Other","Monolete Psilate","Pteridium","Barringtoniaceae","Metroxylon","Nymphoides indica","Ranunculaceae","Indeterminate 3C3P","Indeterminate Other","Damaged/Crumpled","Coprosma","Pinus","Cyathea","Microsorum","Freycinetia","Elaeocarpus","Pittosporum","Dodonaea","Geniostoma","Melicope","Myriophyllum","Pteridium esculentum","Syzygium","Urticaceae","Cyperus","Astelia","Brassicaceae","Colocasia","Piper","cf. Quintinia","Liliaceae","Parsonsia","Polygonum","Metrosideros","Dicksonia","Bryophyta/Marchantiophyta","Spermatophyta undiff.","Unknown (monolete, psilate)","Histiopteris incisa","Veronica","Pandanus","Calycosia","Trema","Canarium","Moraceae","Acalypha","Euphorbiaceae undiff.","Phyllanthus","Celtis","Urticaceae/Moraceae","Triumfetta","Meryta","Macaranga","Dacrydium","Garcinia","Dysoxylum","Alphitonia","Calophyllum","Elattostachys","Malvaceae","Arecaceae","Homalium","Homalanthus","Polypodium","Symplocos","Polyscias","Antirhea","Solanaceae","Jasminum","Mussaenda","Rhamnaceae undiff.","Casuarinaceae","Ophiorrhiza","Lygodium","Sphaerostephanos","Dillenia","Plerandra","Dicranopteris","Cyatheaceae","Unknown (monolete, type A)","Embelia","Maesa","Turrillia","Palaquium","Unknown (monolete, type B)","Baccaurea","Endospermum","Guioa","Dolicholobium","Myristica","Fagraea","Tapeinosperma","Euodia","Arytera","Heritiera","Hymenophyllum","Commersonia","Leea","Rubiaceae undiff.","Ixora","Ficus","Melastoma","Nepenthes","Barringtonia","Rhizophora","Araucaria","OTHER PODOCARPACEAE","ACANTHACEAE","APOCYNACEAE","ARALIACEAE","ASTERACEAE","CASUARINACEAE","Codia","CUNONIACEAE/ELAEOCARPACEAE","EPACRIDACEAE","ESCALLIONACEAE","FLACOURTICEAE","GOODENIACEAE","Hibbertia Type","Kermadecia/Stenocarpus","Melaleuca","OTHER MYRTACEAE","Nothofagus","PIPERACEAE Type","PROTEACEAE","Psychotira","RUTACEAE ?","SAPINDACEAE","SAPINDACEAE Sync. Type","SAPOTACEAE","Sloanea","STERCULICEAE","Tapeinosperma Type","Trema ?","CYPERACEAE","Palmae","Pandanus krauelianis Type","Other PANDANACEAE","POACEAE","POLYPODIACEAE","Cyathaceae","Trilete Psilate","NC-SS-32 Type","Type 19","Type 49","Type 65","Type 66","Type 77","Type 84","Type 166","Type 168","Dam/deg","Indet","cf. Entada","Cocos","Excoecaria","Monolete spores","Rhus","Trilete spores","Fabaceae","cf. Celtis","Quintinia","Terminalia","Schefflera","Neonauclea","Pisonia","Unknown","Elaeocarpaceae","Hibbertia","Lycopodiella cernua var. cernua-type","Decaspermum","Gymnostoma","Triletes","Polypodiales","Cuphea","Xanthomyrtus","Schoenus","Verbenaceae","Cichorioideae","Pseudodiphasium volubile","Acacia","Lauraceae","Nymphoides","Machaerina","Ambrosia-type","Anacolosa","Canavalia","Cardiospermum","cf. Cordyline","cf. Cupaniopsis","cf. Hedycarya","cf. Pleiogynium","cf. Vitex","Chenopodiaceae-Amaranthus","Cyrtandra","Desmodium","Dianella","Erythrina","Fimbristylis","Flagellariaceae","Freyeinetia","Garuga","Guettarda","Hernandia","Hibiscus","Indeterminant","Ipomoea","Ipomoea cf. batatas","Lorantheceae","Maytenus","Omalanthus","Paplionaceae","Poaceae >60m","Poaceae 2-pores","Polgonum","Salacia","Urena","Vigna","Exocarpos","Lycopodiaceae","cf. Blechnum","Arecaceae undiff.","Spermatophyta undiff. (aquatics)","cf. Pteridium","Cupaniopsis","cf. Rubus","cf. Streblus","cf. Melochia","Scaevola","Annonaceae","cf. Canthium","Metroxylon vitiense","cf. Pemphis","Parinari","Limnanthemum","Altingia sp.","Alyxia sp.","Antidesma sp.","Apiaceae undif.","Apocynaceae undif.","Araceae undif.","Araliaceae undif.","Ascarina lanceolata","Asteraceae undif.","Bombacaceae undif.","Celtis sp.","cf. Anacardiaceae undif.","Cyathaceae undif.","Cyperaceae undif.","Dysoxylum sp.","Elaeoecarpus sp.","Euphorbiaceae type","Euphorbiaceae undif.","Fabaceae undif.","Gunneraceae undif.","Loranthus insularum","Melastomataceae undif.","Monolete spore undif.","Moraceae/Urticaceae undif.","Myrsina sp.","Myrtaceae undif.","Pandanus sp.","Poaceae undif.","Rubiaceae undif.","Rumex sp.","Sapindaceae undif.","Sapotaceae undif.","Selaginella sp.","Solanaceae undif.","Solanum type","Sum unknown","Tiliaceae undif.","Trema sp.","Trilete spore undif.","Weinmannia sp.","Albizzia","Apodytes clussifiolia","Avicennia marina","BRASSICACEAE  Type","Brugeria sim.","CHENOPODIACEAE","Dodonea Type","EUPHORBIACEAE Undiff","Exocaria comp.","LEGUMINOSAE","LILIACEAE Type","Longetia buxoides Type","Lumnitzera","Lythrum","MELIACEAE","MENISPERMACEAE  Type","MYRSINACEAE","PASSIFLORACEAE Type","Phyllanthus Type","RHIZOPHORACEAE","RUBIACEAE ?","SIMAROUBACEAE","SONNERATICEAE","VITACEAE","Wickstromea Type","Monolete psilate","Type A","Other","Type A.1","Type B","Other.1","Type 2","Type 5","Type 7","Type 8","Type 15","Type 16","Type 17","Type 18","Type 23","Type 24","Type 25","Type 27","Type 30","Type 31","Type 32","Type 33","Type 34","Type 35","Type 36","Type 39","Type 41","Typef 42","Type 43","Type 45","Type 48","Type 50","Type 51","Type 52","Type 53","Type 54","Type 55","Type 56","Type 57","Type 61","Type 68","Type 71","Type 72","Type 73","Type 74","Type 75","Type 76","Type 78","Type 80","Type 83","Type 85","Type 86","Type 87","Type 90","Type 91","Type 96","Type 97","Type 98","Type 99","Type 100","Type 101","Type 102","Acrostichum","Araceae","Burseraceae","cf. Ailanthus","cf. Araliaceae","cf. Calamus","cf. Clerodendrum","cf. Clethra","cf. Cycas","cf. Desmodium","cf. Diospyros","cf. Geraniaceae","cf. Maesa","cf. Maniltoa","cf. Maytenus","cf. Neonauclea","cf. Onagraceae","cf. Rosaceae","cf. Senna","cf. Sterculia","Combretaceae/Melastromataceae","Dracaena","Grewia","Hedycarya","Loranthaceae","Malpighiaceae","Melastromataceae/Sapotaceae","Monolete echinate","Moraceae/Urticaceae","Oleaceae","Phyllanthaceae","Polygonaceae","Stenochlaena","Vitaceae","Neocallitropsis","Alyxia Type","AMARANTHACEAE","Antidesma Type","Argophyllum Type","Austrobuxus buxoides Type","Austrobuxus Other","Beauprea ?","Cerberiopsis","Citronella Type","Corynocarpus","Cupaniopsis Type","Desmodium Type ?","DILLENIACEAE","Dodonaea Type","Euroshinus Type","Geniostoma Type","GESNERIACEAE","Glochidion Type","Grevillea Type","GUTTIFERAE","Hedycarya Type","Homalanthus Type","Labiateae Type","LORANTHACEAE ?","MALPIGHIACEAE","Carpolepis Type","Pittosporum ?","Planchonella Type","Psidium guava","Rauvolfia","RUBIACEAE","SOLANACEAE","Soulamia Type","Spathodea Type","URTICACEAE","VERBENACEAE","VIOLACEAE?","Colocasia Type","Flagellaria","Joinvillea","Typha?","Monolete Psilate Small","Monolete Psilate Medium","Monolete Psilate Large","Round Hairy Spore","340 Type","Type A Mono","Type B Mono","Type C Mono","Other Monolete Ferns","Sphenomeris Type","Type A Tri","Other Trilete Ferns","Type 10","Type 29","Type 63","Type 89","Type 150","Type 151","Type 152","Type 153","Type 157","Type 158","Type 159","Type 160","Type 161","Type 164","Type 165","Type 167","Type 171","Total","Concentration","ALNUS (exotic marker)","Debarya Type","Zygnema Type","Rutaceae undiff.","Acronychia comp.","Eleocharis comp.","Medinilla comp.","Neonauclea comp.","Scaevola comp.","Myrtaceae (type 1)","Cunoniaceae (dicolpate)","Cunoniaceae (tricolpate)","Blechnum comp.","Unknown (trilete)","Parasponia","Ulmaceae","Urticaceae (type 1)","Urticaceae (type 2)","Fabaceae (type 1)","Fabaceae (type 2)","Lepironia comp.","Melochia","Haloragis sim.","Aleurites","Polygala","Cyperaceae (type 1)","Rubus comp.","Clematis","Randia","Collospermum","Myrtaceae (type 3)","Planchonella","Schefflera comp.","Cleistocalyx","Timonius","Myrtaceae (type 2)","Pteridaceae","Balanops","Claoxylon","Epacrideae","Gonocarpus","Myrtaceae (type 4)","Parinari comp.","Araliaceae undiff.","Saurauia","Pisonia comp.","Ardisia","Neuburgia","Pemphis comp.","Quintinia comp.","Rosaceae undiff.","Potamogeton comp.","Phaleria","Streblus","Pteris berteroana","Dodonaea viscosa","Dryopteridaceae/Polypodiaceae","Ludwigia","Poaceae (>40 µm)","Poaceae (<40 µm)","Dicranopteris linearis","Lycopodiella cernua","Unknown (trilete, psilate)","Commelina","Pandanus tectorius","Asteroideae","Homalanthus cf. H. stokesii","Sophora tomentosa","Sonchus cf. S. asper","Colocasia esculenta","Malvaceae undiff.","Arecaceae incertae sedis","Erythrina variegata","Cyclophyllum barbatum","Convolvulaceae","Freycinetia sp.","Foraminifera","Myoporum rapense","Scaevola taccada","Canavalia Type","Dacrycarpus","Malvaceae- other","Terminalia Type?","Arytera Type","Lonicera Type?","Neonauclea Type?","Olacaceae 6p triangle","Pandandus tectorius Type","Pandanus krauliensis Type","Type 13 Simaroubaceae","Apiacaeae","Asteraceae Type A","Asteraceae Type B","Euphorbia ?","Homalanthus/Exocoaria","Type 11","Euphorbia","Trifolium","Calystegia","Dacrydium cupressinum","Cordyline","Apium prostratum","Aspleniaceae","Eleocharis","Geranium retrorsum group","Ulex europaeus","Asteroideae undiff.","Juncus","Coriaria","Sonchus cf. S. kirkii","Anthoceros","Callitriche","Carex","Poaceae (>50 µm)","Poaceae (<50 µm)","Typha orientalis","Fuscospora","Ophioglossum","Lycopodium scariosum","Pteris tremula","Selaginella kraussiana","Rumex","Ranunculus","cf. Hydrocotyle","Dacrycarpus dacrydioides","Psilotum","Paesia","Bryosporis problematicus","Prumnopitys ferruginea","Schizaea","Haloragis","Leptospermum","Podocarpaceae undiff.","Sigesbeckia orientalis","Fabaceae undiff.","Phyllocladus","Rhopalostylis sapida","Pseudopanax arboreus","Hymenophyllaceae","Blechnaceae","Phormium","Pellaea","Solanum","Oxalis","Muehlenbeckia","Ascarina lucida","Melicytus","Lycopodiella lateralis","Nestegis","Sophora","Thelypteridaceae","Pyrrosia","Prumnopitys taxifolia","Libocedrus","Knightia","Vitex lucens","Laurelia","Agathis australis","Myrsine","Weinmannia","Olearia colensoi","Phlegmariurus varius","Aristotelia","Myoporum","Neomyrtus-type","Bignoniaceae","Flacourtiaceae","Myrsineaceae","Rubiaceae 3c loose weave","Tiliaceae?","Type xxiii Simaroubaceae","Arytera </i>Type","Calophyllum ?","Canavalia</i> Type","Hedycarya</i> Type","Inocarpus </i>3C?","Medusanthera T?","Psychotria Type 1","Psychotria Type 2","Terminalia</i> Type?","Zeridium Type","3cp 25-30um Araliaceae?","3cp zonorate","Other Malvaceae","Piperaceae","Austrobuxus </i>Type","Ixora?","Neonauclea</i> Type?","Trema/Moraceae/Celtis","Brassicaceae Type","Caryophyllaceae","Chenopodiaceae","gemmate monolete","Spikey Trilete","Cucurbitaceae","Violaceae Type","Lonicera</i> Type?","Nertera</i> Type","NCSS32 Type","Homalanthus/Exocaria","Pandandus tectorius","Pandanus</i> Type","Type 6","Type x","Type xvi","Type xxi","Onagraceae"
"1",-58.5,-64.5,-52.5,"wai",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,55,7,0,0,0,0,1,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,2,2,2,3,3,3,9,9,11,20,80,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",-47,-50,-44,"ava",NA,NA,NA,490,2,1,NA,NA,38,NA,1,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,3,NA,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,0,2,0,2,NA,NA,4,NA,NA,0,NA,60,NA,NA,NA,1,0,3,0,4,NA,NA,NA,NA,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,82,14,19,6,11,NA,NA,NA,1,NA,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,0,1,3,0,5,0,2,0,0,0,2,1,0,0,0,0,1,0,46,0,1,0,3,0,1,17,0,2,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",-37,-50,-12,"yac",51,0,1,28,8,0,0,0,38,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,29,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,38,0,0,1,1,6,0,3,11,0,0,0,0,0,20,2,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,10,0,0,0,0,0,143
