"","times","sims","name"
"ngo aro.1",150,0.0954349410735834,"ngo aro"
"ngo aro.2",650,0.321701249213107,"ngo aro"
"ngo aro.3",1150,0.220638785355593,"ngo aro"
"ngo aro.4",1650,0.0436992880321009,"ngo aro"
"ngo aro.5",2650,0.108744658512042,"ngo aro"
"ngo aro.6",3150,0.0588569065760829,"ngo aro"
"ngo aro.7",4650,0.0316822295168293,"ngo aro"
"wai aro.1",150,0.00946699186138689,"wai aro"
"wai aro.2",650,0.00503649689459518,"wai aro"
"wai aro.3",1150,0.0437499999999998,"wai aro"
"wai aro.4",1650,0.00296735905044498,"wai aro"
"wai aro.5",3150,0.0028089887640449,"wai aro"
"wai aro.6",4650,0,"wai aro"
"tuk aro.1",150,0.0222137507499721,"tuk aro"
"tuk aro.2",650,0.00945638386345315,"tuk aro"
"tuk aro.3",1150,0.00454545454545463,"tuk aro"
"tuk aro.4",3150,0.0159574468085106,"tuk aro"
"yac aro.1",150,0.213356200674754,"yac aro"
"yac aro.2",650,0.398102045165599,"yac aro"
"yac aro.3",1150,0.355250411968351,"yac aro"
"yac aro.4",1650,0.23082537654267,"yac aro"
"yac aro.5",2650,0.000381679389313105,"yac aro"
"yac aro.6",3150,0.00452147701582506,"yac aro"
"ava aro.1",150,0.0831122028816174,"ava aro"
"ava aro.2",650,0.163989154326269,"ava aro"
"ava aro.3",1150,0.161965023011177,"ava aro"
"ava aro.4",1650,0.0918187125699031,"ava aro"
"ava aro.5",2650,0.0827770360480642,"ava aro"
"ava aro.6",3150,0.115816349147109,"ava aro"
"ava aro.7",4650,0.061227515594893,"ava aro"
"plu aro.1",150,0.0461631152819719,"plu aro"
"plu aro.2",650,0.113979946775483,"plu aro"
"plu aro.3",1150,0.115401513577472,"plu aro"
"plu aro.4",1650,0.0246319638218031,"plu aro"
"plu aro.5",2650,0,"plu aro"
"plu aro.6",3150,0.00614766851418747,"plu aro"
"plu aro.7",4650,0.0290350128095646,"plu aro"
"lot aro.1",150,0.371906106429023,"lot aro"
"lot aro.2",650,0.358551414151125,"lot aro"
"lot aro.3",1150,0.0986089493627601,"lot aro"
"lot aro.4",1650,0,"lot aro"
"lot aro.5",2650,0,"lot aro"
"lot aro.6",3150,0,"lot aro"
"lot aro.7",4650,0,"lot aro"
"fin aro.1",150,0.226904397122068,"fin aro"
"fin aro.2",650,0.177525886596929,"fin aro"
"fin aro.3",1150,0.156403100255273,"fin aro"
"fin aro.4",1650,0.128429277012816,"fin aro"
"fin aro.5",2650,0.0912878627241241,"fin aro"
"fin aro.6",3150,0.0176092398725536,"fin aro"
"fin aro.7",4650,0,"fin aro"
"vol aro.1",150,0.286730185585908,"vol aro"
"vol aro.2",650,0.283697001631628,"vol aro"
"vol aro.3",1150,0.273032020460358,"vol aro"
"vol aro.4",2650,0.247310528224345,"vol aro"
"vol aro.5",3150,0.252376356125246,"vol aro"
"vol aro.6",4650,0.0840189221705264,"vol aro"
"bon aro.1",150,0.0176505245519356,"bon aro"
"bon aro.2",650,0.0789797371657927,"bon aro"
"bon aro.3",1150,0.0472541212813059,"bon aro"
"bon aro.4",1650,0.283067360934175,"bon aro"
"bon aro.5",2650,0.304349297223406,"bon aro"
"bon aro.6",3150,0.148446954417104,"bon aro"
"tag aro.1",150,0.0401651266876614,"tag aro"
"tag aro.2",650,0.0126382306477092,"tag aro"
