original,standardisation_1,standardisation_1_reason,standardisation_2,standardisation_2_reason
cf. Araliaceae,Araliaceae,removed notation,remove,uncertainty greater than family level
cf. Blechnum,Blechnum,removed notation,Aspleniaceae,aggregated up
cf. Calamus,Calamus,removed notation,Arecaceae,aggregated up
cf. Canthium,Canthium,removed notation,Rubiaceae,aggregated up
cf. Celtis,Celtis,removed notation,Cannabaceae,aggregated up
cf. Clerodendrum,Clerodendrum,removed notation,Lamiaceae,aggregated up
cf. Clethra,Clethra,removed notation,Clethraceae,aggregated up
cf. Cordyline,Cordyline,removed notation,Asparagaceae,aggregated up
cf. Cupaniopsis,Cupaniopsis,removed notation,Sapindaceae,aggregated up
cf. Cycas,Cycas,removed notation,Cycadaceae,aggregated up
cf. Desmodium,Desmodium,removed notation,Fabaceae,aggregated up
cf. Diospyros,Diospyros,removed notation,Ebenaceae,aggregated up
cf. Entada,Entada,removed notation,Fabaceae,aggregated up
cf. Geraniaceae,Geraniaceae,removed notation,remove,uncertainty greater than family level
cf. Hedycarya,Hedycarya,removed notation,Monimiaceae,aggregated up
cf. Hydrocotyle,Hydrocotyle,removed notation,Araliaceae,aggregated up
cf. Maesa,Maesa,removed notation,Primulaceae,aggregated up
cf. Maniltoa,Cynometra,synonym and removed notation,Fabaceae,aggregated up
cf. Maytenus,Maytenus,removed notation,Celastraceae,aggregated up
cf. Melochia,Melochia,removed notation,Malvaceae,aggregated up
cf. Neonauclea,Neonauclea,removed notation,Rubiaceae,aggregated up
cf. Onagraceae,Onagraceae,removed notation,remove,uncertainty greater than family level
cf. Pemphis,Pemphis,removed notation,Lythraceae,aggregated up
cf. Pleiogynium,Pleiogynium,removed notation,Anacardiaceae,aggregated up
cf. Pteridium,Pteridium,removed notation,Dennstaedtiaceae,aggregated up
cf. Quintinia,Quintinia,removed notation,Paracryphiaceae,aggregated up
cf. Rosaceae,Rosaceae,removed notation,remove,uncertainty greater than family level
cf. Rubus,Rubus,removed notation,Rosaceae,aggregated up
cf. Senna,Senna,removed notation,Fabaceae,aggregated up
