labID,age,error,depth,cc
surface,-27,1,0,0
SRR-2417,18870,140,60,3
SRR-2037,2100,50,104.5,3
SRR-2418,7680,80,220,3
SRR-2038,10960,130,314.5,3
SRR-2419,18780,250,380,3
SRR-1791,26280,300,445,3
SRR-2420,28670,1000,625,3
SRR-1702,31610,750,765,3
SRR-2421,34440,1100,930,3
SRR-1353,37680,1200,1140,3
