depth	min	max	median	mean
241	8654	10425	9346	9395
242	8694	10475	9395	9443
243	8724	10520	9446	9490
244	8760	10566	9499	9538
245	8780	10608	9548	9586
246	8803	10675	9598	9633
247	8825	10752	9651	9681
248	8844	10816	9698	9729
249	8860	10902	9738	9777
250	8879	10984	9780	9824
251	8941	11012	9836	9873
252	8989	11034	9889	9922
253	9036	11088	9942	9971
254	9078	11129	9996	10019
255	9110	11192	10050	10068
256	9143	11237	10107	10117
257	9166	11287	10158	10166
258	9183	11336	10205	10215
259	9208	11411	10255	10264
260	9239	11493	10302	10312
261	9304	11524	10352	10360
262	9353	11554	10397	10407
263	9386	11590	10446	10455
264	9420	11639	10497	10502
265	9450	11671	10547	10550
266	9487	11726	10598	10597
267	9519	11787	10648	10645
268	9540	11833	10693	10692
269	9569	11901	10744	10740
270	9591	11984	10795	10787
271	9660	11996	10838	10833
272	9731	12027	10878	10879
273	9794	12043	10921	10924
274	9857	12062	10974	10970
275	9889	12095	11030	11016
276	9926	12137	11084	11061
277	9962	12176	11132	11107
278	10000	12199	11176	11153
279	10021	12241	11215	11198
280	10043	12304	11263	11244
281	10118	12328	11307	11290
282	10185	12354	11356	11336
283	10262	12375	11406	11382
284	10315	12397	11457	11429
285	10369	12420	11503	11475
286	10403	12451	11551	11521
287	10434	12487	11602	11567
288	10472	12513	11648	11613
289	10524	12551	11703	11659
290	10565	12594	11754	11706
291	10647	12616	11795	11750
292	10715	12636	11836	11795
293	10793	12649	11886	11839
294	10851	12671	11929	11884
295	10915	12696	11974	11928
296	10949	12723	12017	11973
297	10996	12749	12062	12017
298	11034	12786	12108	12061
299	11078	12831	12152	12106
300	11117	12878	12200	12150
301	11214	12890	12238	12196
302	11317	12912	12283	12241
303	11403	12935	12327	12287
304	11481	12947	12369	12332
305	11566	12967	12413	12377
306	11644	12988	12453	12423
307	11688	13009	12501	12468
308	11755	13038	12552	12514
309	11798	13082	12602	12559
310	11839	13127	12645	12604
311	12045	13153	12698	12677
312	12255	13184	12751	12749
313	12438	13225	12813	12822
314	12585	13267	12881	12894
315	12652	13350	12954	12967
316	12692	13470	13026	13039
317	12728	13669	13087	13112
318	12751	13872	13143	13184
319	12773	14100	13198	13256
320	12788	14326	13253	13329
321	12879	14469	13381	13450
322	12937	14659	13503	13572
323	12967	14873	13616	13693
324	13006	15144	13724	13814
325	13033	15454	13829	13936
326	13060	15769	13929	14057
327	13075	16055	14032	14179
328	13096	16413	14129	14300
329	13115	16745	14231	14421
330	13133	17090	14325	14543
331	13232	17192	14481	14666
332	13291	17285	14615	14790
333	13341	17401	14752	14913
334	13368	17543	14883	15037
335	13397	17694	15021	15161
336	13434	17899	15143	15284
337	13465	18090	15263	15408
338	13498	18361	15369	15531
339	13522	18587	15483	15655
340	13553	18875	15594	15778
341	13644	18939	15728	15898
342	13712	19016	15870	16017
343	13772	19134	16013	16137
344	13818	19221	16153	16256
345	13868	19359	16278	16376
346	13914	19498	16414	16495
347	13944	19652	16554	16614
348	13988	19825	16672	16734
349	14020	20021	16800	16853
350	14059	20215	16920	16973
351	14136	20301	17056	17094
352	14200	20398	17190	17216
353	14274	20502	17333	17337
354	14347	20583	17488	17459
355	14393	20680	17657	17581
356	14432	20808	17811	17702
357	14480	20926	17954	17824
