"","Cal_yrs_BP","min","max","Agathis","Araucaria","Dacrydium","Neocallitropsis","Podocarpus","OTHER PODOCARPACEAE","ACANTHACEAE","Alyxia Type","AMARANTHACEAE","Antidesma Type","APOCYNACEAE","ARALIACEAE","Argophyllum Type","Ascarina","ASTERACEAE","Austrobuxus buxoides Type","Austrobuxus Other","Barringtonia","Beauprea ?","CASUARINACEAE","Celtis","Cerberiopsis","Citronella Type","Codia","Corynocarpus","CUNONIACEAE/ELAEOCARPACEAE","Cupaniopsis Type","Desmodium Type ?","DILLENIACEAE","Dodonaea Type","EPACRIDACEAE","ESCALLIONACEAE","Euroshinus Type","Ficus","FLACOURTICEAE","Garcinia","Geniostoma Type","GESNERIACEAE","Glochidion Type","GOODENIACEAE","Grevillea Type","GUTTIFERAE","Hedycarya Type","Hibbertia Type","Homalanthus Type","Ilex","Kermadecia/Stenocarpus","Labiateae Type","LORANTHACEAE ?","Macaranga","MALPIGHIACEAE","Melaleuca","Carpolepis Type","OTHER MYRTACEAE","Melastoma","Meliaceae","Meryta","Myriophyllum","Nepenthes","Nothofagus","Phyllanthus","PIPERACEAE Type","Pittosporum ?","Planchonella Type","PROTEACEAE","Psidium guava","Psychotira","Rauvolfia","Rhizophora","RUBIACEAE","RUTACEAE ?","SAPINDACEAE","SAPINDACEAE Sync. Type","SAPOTACEAE","Sloanea","Smilax?","SOLANACEAE","Soulamia Type","Spathodea Type","STERCULICEAE","Tapeinosperma Type","Trema ?","URTICACEAE","VERBENACEAE","VIOLACEAE?","Colocasia Type","CYPERACEAE","Flagellaria","Joinvillea","Palmae","Pandanus krauelianis Type","Other PANDANACEAE","POACEAE","Typha?","Lycopodium","Selaginella","Monolete Psilate Small","Monolete Psilate Medium","Monolete Psilate Large","POLYPODIACEAE","Round Hairy Spore","340 Type","Type A Mono","Type B Mono","Type C Mono","Other Monolete Ferns","Pteridium esculentum","Cyathaceae","Trilete Psilate","Sphenomeris Type","NC-SS-32 Type","Type A Tri","Other Trilete Ferns","Type 4","Type 10","Type 19","Type 29","Type 49","Type 63","Type 65","Type 66","Type 77","Type 84","Type 89","Type 150","Type 151","Type 152","Type 153","Type 157","Type 158","Type 159","Type 160","Type 161","Type 164","Type 165","Type 166","Type 167","Type 168","Type 171","Total","Concentration","ALNUS (exotic marker)","Dam/deg","Indet","Debarya Type","Zygnema Type"
"27",5707,5344,6068,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,72,0,2,0,13,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,8,0,0,0,103,0,0,0,0,0,2,0,19,2,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,1,5,0,0,0,0,0,0,0,0,0,0,332,61088,125,19,7,0,0
"28",6210,5823,6726,0,13,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,22,0,0,0,46,0,0,0,0,0,0,0,11,0,0,3,0,0,0,7,10,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,150,16995,203,12,3,0,0
"29",6940,6206,7885,1,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,6,0,0,0,0,1,4,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,5,0,0,1,0,1,0,9,0,0,0,80,3,0,0,0,0,1,0,12,0,49,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,346,68603,116,10,3,0,0
"30",7657,6617,8846,1,30,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,36,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,76,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,6,0,1,0,0,0,0,14,0,0,1,58,0,0,0,0,0,11,0,2,3,5,0,0,0,0,5,1,1,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,6,0,1,6,1,0,0,0,0,0,0,0,0,0,289,35356,188,40,13,0,0
"31",8373,7017,9785,0,6,10,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,23,0,0,0,52,0,1,0,1,0,3,1,16,1,1,0,0,0,0,2,33,2,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,4,3,8,0,0,0,0,0,0,3,0,0,346,63159,126,22,10,0,0
"32",8970,7460,10314,0,10,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,62,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,4,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,1,1,8,0,0,1,62,0,0,0,0,0,3,0,36,0,0,23,0,0,0,3,2,1,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,10,4,2,6,6,0,0,0,0,0,0,0,0,0,325,55784,134,23,9,0,0
"33",10634,9573,11391,4,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,0,0,0,0,0,115,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,42,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,15,9,6,0,0,0,0,0,0,0,0,0,0,0,312,156000,46,49,11,0,0
"34",12012,11266,12868,4,4,4,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,91,0,0,0,1,0,0,0,0,0,15,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,19,0,0,1,74,0,1,0,0,0,10,0,8,4,4,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,9,1,0,2,0,0,0,0,0,0,0,0,0,0,320,57500,128,21,10,0,0
"35",13146,12126,14300,0,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,1,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,12,0,0,0,57,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,7,12,0,2,7,4,0,0,0,0,0,0,0,0,0,339,40399,193,15,7,0,0
"36",14293,13136,15492,0,18,0,1,0,5,0,0,0,0,2,0,0,3,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,108,0,0,0,3,0,0,0,0,0,6,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,26,0,0,6,56,0,0,0,0,0,15,0,0,1,0,0,0,0,0,8,2,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,43,8,5,0,0,0,0,0,0,0,0,0,0,0,355,82475,99,55,15,0,0
"37",15429,14275,16617,0,6,2,0,0,4,0,0,0,0,2,2,0,8,3,0,0,1,0,39,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,5,0,0,1,2,0,66,1,0,0,8,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,141,1,0,1,14,0,3,0,0,1,9,0,20,0,0,2,0,0,0,11,2,2,2,0,0,0,3,0,0,2,0,0,0,5,11,0,4,0,2,9,2,2,4,2,0,0,1,6,0,0,0,0,0,440,88772,114,32,6,0,0
"38",16791,15786,17670,0,5,1,0,2,2,0,0,0,0,0,0,0,14,7,0,0,0,0,29,0,0,3,3,0,10,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,20,0,6,0,8,1,0,0,0,0,10,0,2,0,0,0,0,1,0,0,0,3,1,0,3,0,0,0,0,0,1,0,3,0,0,0,1,55,0,0,2,3,0,0,0,0,0,36,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,4,4,0,0,3,0,0,0,0,0,0,0,0,0,0,262,103897,58,32,21,0,0
"39",18171,17425,18949,1,8,4,0,2,4,0,0,0,0,1,0,0,10,2,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,72,0,0,0,4,0,0,0,0,0,13,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,2,0,22,0,0,1,81,0,2,0,0,2,8,0,6,0,0,8,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,4,1,0,0,10,28,0,6,0,0,1,0,0,0,0,0,0,0,0,331,85539,89,32,10,0,0
"40",19335,18292,20507,0,5,5,1,3,0,0,0,0,0,1,2,0,12,2,0,0,0,0,16,0,0,0,0,0,3,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,4,0,0,0,0,0,27,0,0,0,3,0,0,0,0,0,31,0,4,0,0,1,0,0,0,0,2,5,2,0,0,0,1,0,0,0,0,0,1,0,0,3,0,35,0,0,24,73,4,0,0,0,0,29,0,0,5,0,0,0,0,0,4,5,2,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,42374,203,61,6,0,0
"41",20477,19215,21882,0,5,2,0,0,2,0,0,0,0,1,1,0,9,1,0,1,0,0,18,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,27,0,1,1,0,0,0,1,4,0,0,0,2,0,0,0,0,0,0,0,3,1,1,0,0,0,0,14,0,0,0,200,0,0,0,0,0,12,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,15,0,4,0,2,3,0,7,5,0,0,0,0,0,0,367,165510,51,30,25,0,0
"42",21512,20144,22972,0,2,2,5,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,28,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,3,3,0,0,0,0,14,0,0,0,0,0,0,5,3,0,1,0,3,0,2,0,0,0,0,0,2,0,3,0,0,0,0,17,0,0,4,136,1,0,0,0,0,10,0,7,13,0,0,0,0,0,0,0,2,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,25,3,11,1,0,5,3,4,0,0,0,0,0,0,0,336,126689,61,55,5,0,0
"43",22545,21104,24049,2,3,0,0,3,0,0,0,0,0,2,0,0,2,1,0,0,0,0,77,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,5,1,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,127,1,0,0,0,2,1,0,1,4,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,7,1,0,4,4,0,0,0,0,0,4,4,1,0,8,308,202400,35,39,8,0,0
"44",23322,21851,24868,0,5,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,32,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,6,0,0,0,0,0,18,0,2,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,9,0,0,0,0,0,0,6,0,0,1,163,0,0,0,0,1,6,6,6,9,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,9,2,0,0,0,0,0,0,0,0,324,138000,54,32,13,0,0
