"","Cal_yrs_BP","Ilex","Podocarpus","Rutaceae undiff.","Casuarinaceae","Arytera","Calophyllum","Embelia","Endospermum","Homalium","Mallotus","Homalanthus","Palaquium","Turrillia","Acronychia comp.","Eleocharis comp.","Medinilla comp.","Neonauclea comp.","Scaevola comp.","Hymenophyllum","Apiaceae","Asteraceae","Polygonum","Freycinetia","Geniostoma","Pandanus","Plerandra","Myrtaceae (type 1)","Cunoniaceae (dicolpate)","Cunoniaceae (tricolpate)","Unknown (monolete, type B)","Poaceae","Rapanea","Bischofia","Dysoxylum","Metrosideros","Ascarina","Blechnum comp.","Unknown (trilete)","Lycopodium","Polypodium","Acalypha","Cyatheaceae","Parasponia","Dicksonia","Ulmaceae","Macaranga","Urticaceae (type 1)","Dicranopteris","Urticaceae (type 2)","Maesa","Elaeocarpus","Agathis","Psychotria","Baccaurea","Fabaceae (type 1)","Fabaceae (type 2)","Lygodium","Alphitonia","Arecaceae","Lepironia comp.","Unknown (monolete, type A)","Melochia","Haloragis sim.","Malvaceae","Aleurites","Dodonaea","Polygala","Garcinia","Euphorbiaceae undiff.","Cyperaceae (type 1)","Rubus comp.","Clematis","Melastomataceae","Randia","Calycosia","Collospermum","Myrtaceae (type 3)","Planchonella","Sphaerostephanos","Schefflera comp.","Solanaceae","Glochidion","Symplocos","Jasminum","Guioa","Cleistocalyx","Euodia","Dacrydium","Timonius","Myrtaceae (type 2)","Pteridaceae","Antirhea","Rhamnaceae undiff.","Commersonia","Dolicholobium","Balanops","Claoxylon","Melicope","Coprosma","Epacrideae","Dillenia","Fagraea","Gonocarpus","Myrtaceae (type 4)","Parinari comp.","Araliaceae undiff.","Heritiera","Ixora","Tapeinosperma","Saurauia","Ophiorrhiza","Pisonia comp.","Ardisia","Neuburgia","Mussaenda","Pemphis comp.","Quintinia comp.","Elattostachys","Rosaceae undiff.","Polyscias","Myristica","Potamogeton comp.","Leea","Rubiaceae undiff.","Pittosporum","Phaleria","Amaranthaceae","Streblus","ageolder","ageyounger"
"11",2089,4,1,2,0,0,2,7,1,1,1,3,0,0,0,0,0,1,1,1,0,0,0,15,0,381,1,14,1,4,0,0,24,2,0,3,14,8,4,19,6,2,18,0,2,3,9,4,10,0,2,8,0,0,0,1,5,0,0,5,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,11,0,0,2,0,0,0,10,0,0,0,0,0,33,0,0,0,2,0,0,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2799,1553
"12",2296,11,0,1,1,0,4,6,0,2,0,5,0,0,0,0,0,1,0,3,0,0,0,22,1,219,3,11,2,7,0,0,24,2,1,7,17,4,2,7,8,1,15,0,0,2,12,13,20,2,6,6,0,0,1,0,18,1,0,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,7,0,0,2,0,0,1,15,0,1,0,0,0,16,1,0,0,2,1,0,2,10,1,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3071,1694
"13",2506,5,1,0,0,0,2,6,0,1,1,2,0,1,0,0,0,1,2,1,0,0,0,12,0,151,0,10,2,8,0,0,6,2,0,1,15,3,0,5,0,0,8,0,1,2,6,29,8,0,0,6,0,1,0,1,16,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,36,0,0,0,0,0,11,1,0,0,3,1,0,0,2,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3310,1843
"14",2714,3,0,0,0,0,7,1,2,1,1,4,1,0,0,3,0,0,2,1,0,0,0,15,0,330,7,10,3,6,0,0,36,2,4,5,12,1,4,4,1,1,8,0,0,9,10,20,24,1,3,10,1,0,0,1,9,2,0,4,3,2,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,0,0,1,0,0,3,1,0,0,6,0,2,0,0,0,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3532,2007
"15",2919,3,1,0,0,0,7,2,0,0,0,9,1,0,0,0,0,0,2,1,0,0,0,30,0,485,5,18,0,11,0,1,23,1,1,3,4,2,0,5,6,1,6,0,0,8,4,11,10,1,2,2,0,0,0,1,16,0,0,21,0,1,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,4,0,0,3,1,0,0,10,0,0,0,0,0,13,0,0,0,1,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3792,2169
"16",3130,8,4,0,0,0,0,2,1,5,0,3,5,0,2,0,1,0,0,1,0,0,0,18,0,480,3,24,2,7,0,0,17,1,3,6,9,13,0,11,7,0,24,0,1,2,5,6,17,0,0,5,1,2,1,3,9,0,0,20,1,4,0,16,0,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,12,1,0,0,1,0,8,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4019,2350
"17",3339,7,8,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,240,7,28,1,3,3,0,16,2,1,7,7,6,0,3,2,0,14,0,0,0,7,2,11,0,4,2,1,0,0,2,7,0,0,11,0,2,0,3,0,0,0,0,0,0,0,0,0,5,0,1,0,13,0,0,0,0,0,11,0,0,0,0,0,2,14,0,1,1,0,0,15,0,0,0,2,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4246,2524
"18",3544,4,3,3,0,0,3,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,9,2,215,3,34,0,10,0,0,12,0,0,6,5,0,0,7,3,0,16,0,0,0,5,7,6,1,1,5,2,0,0,1,6,1,0,5,0,0,0,14,0,0,0,0,0,0,0,0,0,2,0,0,0,9,1,0,0,0,0,7,0,0,0,0,0,2,12,0,4,1,0,0,33,0,0,1,0,0,1,1,7,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4463,2696
"19",3752,2,6,0,0,0,5,6,0,1,2,3,1,0,0,1,0,0,0,1,0,0,0,11,0,164,9,32,0,10,0,0,6,0,1,2,5,2,0,3,6,0,55,0,3,0,1,2,11,0,3,4,0,0,0,0,3,0,0,4,0,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,7,4,0,4,0,0,3,0,0,2,1,0,0,43,0,2,0,0,0,17,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4680,2879
"20",3964,3,3,0,0,0,9,1,0,0,0,6,5,1,1,0,0,0,1,1,0,0,0,4,0,83,12,13,2,7,0,0,6,1,3,5,7,3,0,5,3,0,28,0,7,3,4,4,11,1,0,1,0,1,0,2,2,0,0,12,18,1,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,3,9,0,0,0,0,3,0,0,5,1,0,0,33,0,2,0,0,0,22,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4884,3073
"21",4172,0,3,0,0,0,5,4,0,0,0,7,1,3,0,0,0,0,4,3,1,0,0,13,0,164,10,25,1,5,0,0,3,0,0,1,15,3,0,4,13,0,64,0,0,0,6,5,14,0,2,2,0,0,0,2,4,1,0,11,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,3,0,0,2,0,0,1,1,0,0,42,0,4,0,0,0,15,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5084,3263
"22",4375,2,3,0,0,0,4,1,0,0,0,7,2,1,0,0,0,0,0,3,0,0,0,15,0,86,5,9,4,15,0,0,5,2,0,2,12,5,1,0,9,1,28,0,7,0,7,8,21,0,1,3,0,0,0,5,1,0,0,18,8,3,1,2,0,0,0,0,0,3,0,0,0,5,0,0,1,0,1,0,5,0,0,0,0,0,14,1,0,0,18,0,0,0,1,0,29,0,1,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5294,3455
"23",4594,1,3,0,0,0,5,0,1,0,0,4,2,0,0,0,0,0,0,3,0,0,0,13,1,98,2,22,3,4,0,0,12,4,0,1,17,0,0,7,4,0,6,0,2,2,6,8,2,0,0,4,1,0,0,0,5,0,0,7,3,0,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,6,0,0,8,0,0,0,36,0,2,0,0,0,15,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5517,3660
"24",4802,1,3,0,0,0,10,4,1,0,0,5,3,1,0,0,0,0,0,1,0,0,0,16,0,105,4,9,6,3,0,0,5,3,0,0,11,10,0,2,3,0,32,0,0,3,7,4,9,0,2,2,0,0,0,1,13,0,0,32,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,0,0,1,0,1,0,1,1,0,0,0,26,0,2,2,1,0,15,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,3,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,5700,3854
"25",5006,2,4,0,1,0,8,1,1,0,0,3,14,0,0,0,0,0,0,7,0,0,0,20,0,165,5,22,6,3,0,0,3,0,0,0,5,3,0,11,9,0,39,0,3,0,2,3,6,0,1,6,0,0,0,0,0,0,0,22,3,1,0,5,0,0,0,0,0,0,0,0,0,4,0,1,0,17,8,0,0,0,0,2,0,1,1,2,0,0,32,0,4,0,0,0,24,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5886,4074
"26",5214,5,18,0,0,0,7,5,0,1,2,5,2,3,0,0,0,0,0,4,0,0,0,9,0,125,13,16,2,1,0,0,2,2,0,6,8,6,3,7,4,0,49,0,1,1,7,6,11,2,2,4,0,0,0,1,1,0,0,14,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9,1,0,1,0,0,8,0,0,0,7,0,3,27,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6058,4277
"27",5419,3,9,0,0,0,8,9,0,1,2,6,2,1,0,0,0,0,0,6,0,0,0,27,0,445,9,10,1,11,2,0,11,0,0,0,15,7,0,2,6,0,100,0,2,0,11,0,14,0,6,16,0,1,0,8,8,1,1,11,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,3,0,0,0,3,0,0,17,0,0,3,0,0,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6242,4491
"28",5635,6,6,0,1,0,8,1,2,1,0,6,0,2,0,0,0,0,5,4,0,0,0,21,2,101,1,10,1,3,1,0,11,1,0,4,6,11,0,6,4,0,81,0,0,0,2,0,19,2,0,4,0,0,0,0,4,3,0,19,3,1,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,11,0,0,0,0,0,0,0,0,2,1,0,0,42,0,1,0,0,0,37,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6422,4740
"29",5846,3,4,0,0,0,2,2,0,1,0,4,0,0,0,0,0,0,1,3,0,0,0,18,0,115,7,28,4,6,0,0,23,0,0,4,8,5,0,2,3,0,75,0,0,0,2,0,9,1,0,8,0,2,0,1,5,0,0,7,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,5,0,0,3,3,0,0,39,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6590,4958
"30",6054,1,11,0,0,0,13,5,0,2,0,5,1,1,0,0,0,0,1,4,0,0,0,24,0,147,7,15,1,2,0,0,10,2,0,1,8,12,0,6,4,0,150,0,0,0,8,0,28,0,2,0,0,2,0,0,6,0,3,20,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,34,0,1,0,0,0,16,0,0,0,1,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6751,5196
"31",6261,3,10,0,1,0,5,1,0,1,0,3,1,3,0,0,0,3,0,3,0,0,0,14,0,128,10,18,1,2,0,0,10,2,1,1,16,22,0,10,3,0,340,0,0,0,8,1,31,1,1,1,0,0,0,1,3,2,0,12,0,3,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,5,0,0,0,3,0,0,30,0,3,0,0,0,17,0,1,0,0,1,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6906,5439
"32",6469,3,18,0,0,0,3,0,0,0,0,5,0,0,0,0,0,1,0,2,0,0,0,3,0,29,2,4,2,4,0,0,5,2,0,4,6,8,0,1,2,0,36,0,0,0,2,1,7,0,0,4,0,0,0,0,3,0,0,14,1,0,0,7,0,0,0,0,0,0,5,0,0,1,0,0,0,3,0,0,0,0,0,2,0,1,0,1,0,0,20,0,0,0,0,0,87,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7068,5687
